game_id,title,platform,platform_type,platform_maker,platform_generation,genre,year,publisher,developer,publisher_region,publisher_tier,esrb_rating,metacritic_score,user_score,critic_review_count,user_review_count,na_sales_million,eu_sales_million,jp_sales_million,other_sales_million,global_sales_million,estimated_revenue_million_usd,launch_price_usd,is_sequel,online_multiplayer,dlc_released,microtransactions,loot_boxes,game_pass_available,vr_support,goty_nominated,goty_won,how_long_to_beat_main_hrs,how_long_to_beat_completionist_hrs
G000001,eFootball 2023,Game Boy,Handheld,Nintendo,4,Sports,1990,CD Projekt,Deep Silver,Poland,AAA,M,69,6.7,34,1172,10.01,8.35,2.58,3.46,24.4,575.88,49.99,1,1,1,0,0,0,0,0,0,31.8,86.1
G000002,Doom 3,Xbox,Console,Microsoft,6,Rhythm,2004,Ubisoft,Ubisoft,France,AAA,M,78,9.4,5,186,52.28,33.72,5.32,12.3,103.62,5056.51,59.99,1,0,1,1,0,0,0,0,0,13.1,55.4
G000003,God of Fire,PC,PC,Various,0,Misc,1988,Microsoft Studios,Microsoft Studios,USA,AAA,T,76,6.6,33,363,2.9,1.48,0.75,0.91,6.04,138.6,59.99,0,0,0,0,0,0,0,0,0,9.8,20.9
G000004,Call of Duty: Rising Sun,Mobile (Android),Mobile,Google,0,Shooter,2017,InXile Entertainment,InXile Entertainment,USA,AA,M,62,7.0,28,532,6.76,3.27,0.73,2.34,13.1,36.98,0.0,0,1,1,1,0,0,0,0,0,9.1,44.8
G000005,Fortnite 3,Nintendo 64,Console,Nintendo,5,Battle Royale,1999,Naughty Dog,id Software,USA,AAA,AO,62,5.6,58,1280,25.12,15.94,7.02,7.71,55.79,2148.24,69.99,1,1,0,1,0,0,0,0,0,150.8,322.3
G000006,Need for Speed: Shadow War,PC,PC,Various,0,Racing,2003,2K Games,id Software,USA,AAA,E,68,7.1,13,26,7.17,6.28,2.01,2.77,18.23,317.9,59.99,0,0,1,0,0,0,0,0,0,14.1,37.7
G000007,Valorant 3,NES,Console,Nintendo,3,Shooter,1993,Activision Blizzard,Activision Blizzard,USA,AAA,T,90,8.5,72,109,58.72,39.21,6.14,7.42,111.49,3820.21,79.99,1,1,1,0,0,0,0,1,0,12.6,62.1
G000008,FIFA 2024,NES,Console,Nintendo,3,Sports,1990,Sega,Obsidian Entertainment,Japan,AAA,T,75,7.8,9,280,17.44,7.64,14.14,5.06,44.28,2121.46,59.99,1,1,1,0,0,0,0,0,0,14.5,30.1
G000009,Battlefield Odyssey,Xbox 360,Console,Microsoft,7,Shooter,2005,Humble Games,Humble Games,USA,Indie,E10+,67,7.0,3,224,1.69,1.47,0.37,0.39,3.92,163.29,49.99,0,1,0,1,0,0,0,0,0,4.2,17.6
G000010,Kirby's Knight,Atari 2600,Console,Atari,2,Platform,1990,2K Games,Epic Games,USA,AAA,M,75,8.1,15,182,6.65,4.93,1.8,0.74,14.12,653.65,49.99,0,0,1,0,0,0,0,0,0,15.1,64.1
G000011,Doom Reborn,Game Boy,Handheld,Nintendo,4,Misc,2003,Square Enix,Square Enix,Japan,AAA,T,68,7.5,18,168,0.45,0.28,0.33,0.13,1.19,31.82,29.99,0,0,1,0,0,0,0,0,0,14.6,69.2
G000012,Elden Reborn,Sega Genesis,Console,Sega,4,Role-Playing,1997,Bethesda Softworks,Bethesda Softworks,USA,AAA,T,72,7.2,11,271,2.75,1.7,0.15,1.02,5.62,231.22,49.99,0,0,1,1,0,0,0,0,0,65.9,149.2
G000013,Batman: Arkham Realm,Browser,Browser,Various,0,Action,2004,Team17,Team17,UK,AA,T,59,6.2,47,4,1.43,0.65,0.09,0.45,2.62,0.0,0.0,0,0,0,0,0,0,0,0,0,15.8,32.2
G000014,Stardew Origins,PC,PC,Various,0,Simulation,1986,Rockstar Games,Nomada Studio,USA,AAA,M,77,7.8,4,984,1.56,1.32,0.22,0.18,3.28,54.78,9.99,0,0,1,0,0,0,0,0,0,34.8,70.7
G000015,Europa Universalis VII,Xbox 360,Console,Microsoft,7,Strategy,2008,Devolver Digital,Bungie,USA,AA,T,70,7.0,8,350,1.16,0.54,0.11,0.2,2.01,68.23,49.99,1,1,1,0,0,0,0,0,0,28.2,94.6
G000016,Until Dawn Legacy,Nintendo 3DS,Handheld,Nintendo,8,Survival Horror,2020,Square Enix,Square Enix,Japan,AAA,E,93,10.0,20,64,13.76,11.89,11.88,3.88,41.41,1326.75,19.99,0,0,1,1,1,0,0,0,0,9.1,40.0
G000017,The Sims 2,Xbox Series X/S,Console,Microsoft,9,Simulation,2024,Naughty Dog,Naughty Dog,USA,AAA,E,73,6.1,16,143,9.88,5.35,1.7,3.03,19.96,812.38,79.99,1,1,1,0,0,0,0,0,0,37.1,170.7
G000018,Ridge Racer 4,PC,PC,Various,0,Racing,2011,Nintendo,Nintendo,Japan,AAA,M,87,9.4,15,1340,13.12,9.48,11.34,4.33,38.27,757.42,9.99,1,0,1,0,0,0,0,1,0,10.1,28.3
G000019,Night in the Saga,Atari 2600,Console,Atari,2,Adventure,1985,Take-Two Interactive,Raw Fury,USA,AAA,T,87,9.0,11,429,2.3,1.88,0.42,0.68,5.28,262.12,39.99,0,0,1,0,0,0,0,0,0,16.5,72.7
G000020,Injustice 2,Xbox 360,Console,Microsoft,7,Fighting,2012,Remedy Entertainment,Other,Finland,AA,E,84,9.3,12,103,5.67,2.48,0.85,2.07,11.07,473.0,59.99,1,1,0,0,0,0,0,0,0,5.8,19.3
G000021,Rainbow Six: City,Xbox,Console,Microsoft,6,Shooter,2006,InXile Entertainment,Toby Fox,USA,AA,T,74,5.9,37,496,5.85,3.64,1.66,1.59,12.74,438.55,49.99,0,1,0,1,0,0,0,0,0,9.1,28.9
G000022,Baba Is Genesis,Nintendo 64,Console,Nintendo,5,Puzzle,2002,InXile Entertainment,Larian Studios,USA,AA,E,68,7.0,36,2609,0.87,0.4,0.17,0.12,1.56,67.95,69.99,0,0,1,0,0,0,0,0,0,9.5,21.1
G000023,FIFA 2025,Game Boy,Handheld,Nintendo,4,Sports,2003,Naughty Dog,Naughty Dog,USA,AAA,M,73,8.7,22,221,30.26,19.56,1.74,4.81,56.37,1622.5,29.99,1,1,1,0,0,0,0,0,0,19.6,53.1
G000024,Doom Legacy,PC,PC,Various,0,Action,2018,Epic Games,Nomada Studio,USA,AAA,E,77,7.3,59,521,11.85,5.9,2.64,4.64,25.03,571.7,49.99,0,0,1,0,0,0,0,0,0,10.9,38.3
