genre,titles,total_sales_m,avg_sales_m,avg_metacritic,avg_user_score,pct_goty_nominated,avg_htlb_main,pct_online,pct_dlc,pct_microtransactions
Action,7496,208197.93,27.77,73.5,7.37,0.04,11.97,0.29,0.62,0.24
Action-Adventure,1985,31859.39,16.05,73.67,7.36,0.04,12.07,0.3,0.62,0.24
Adventure,2397,39900.59,16.65,76.59,7.66,0.07,11.83,0.33,0.61,0.24
Battle Royale,949,37460.91,39.47,74.16,7.45,0.04,100.73,1.0,0.6,0.5
Fighting,2761,62525.89,22.65,74.94,7.48,0.05,5.97,1.0,0.63,0.25
Idle/Clicker,450,6392.3,14.21,73.85,7.4,0.04,12.28,0.32,0.62,0.24
MMORPG,959,16291.0,16.99,74.16,7.39,0.04,198.36,1.0,0.6,0.51
Misc,1896,25942.19,13.68,69.22,6.91,0.01,11.98,0.3,0.62,0.27
Platform,3384,85004.8,25.12,74.01,7.4,0.04,10.03,0.29,0.64,0.26
Puzzle,2308,27180.11,11.78,74.13,7.42,0.04,8.01,0.28,0.63,0.26
Racing,3371,82745.33,24.55,74.4,7.43,0.05,15.09,0.29,0.64,0.25
Rhythm,460,6783.49,14.75,73.63,7.34,0.04,12.03,0.28,0.6,0.25
Role-Playing,4267,108963.88,25.54,77.46,7.76,0.09,54.96,0.29,0.62,0.24
Sandbox,454,34424.63,75.83,77.27,7.68,0.08,148.3,0.29,0.6,0.26
Shooter,4741,169891.12,35.83,74.04,7.41,0.04,8.0,1.0,0.63,0.5
Simulation,3249,53977.48,16.61,74.44,7.44,0.05,39.77,0.3,0.62,0.26
Sports,5571,263838.83,47.36,71.24,7.14,0.02,20.02,1.0,0.62,0.49
Strategy,1859,23439.39,12.61,75.1,7.51,0.06,35.05,0.32,0.62,0.26
Survival Horror,956,14734.95,15.41,74.77,7.43,0.05,10.11,0.28,0.66,0.27
Visual Novel,487,2182.7,4.48,73.96,7.45,0.06,11.76,0.28,0.6,0.22
